"AgeI"	"ApoI"	"BsrFI"	"EcoRI"	"FatI"	"KpnI"	"MluCI"	"MseI"	"MspI"	"NcoI"	"NgoMIV"	"NotI"	"NsiI"	"NspI"	"PciI"	"PstI"	"SbfI"	"SgrAI"
"Ichmul"	-0.105072915349177	-0.178896894604242	0.656578255338117	0.113843236326779	-0.211037058277676	-0.0500450363577024	-0.156261349091911	-0.0923632871867157	1.46029514501793	1.07078597257391	7.56923765071108	11.7664221402354	0.0977607303528007	-0.183875707652666	-0.410342700321837	2.58550074691818	30.1007573025234	0.940204752527137
"Tetthe"	-0.848398459036967	0.123272783587819	-0.791707955393836	-0.0419523869660634	-0.299660704964117	-0.240330908434556	0.0726801246785398	0.0648215981366322	-0.776668947261156	-0.0505174722150872	-0.708082754011763	0.212755788336369	-0.120341528356662	-0.338832080603662	-0.593726937952444	1.42354792197068	4.77134712436415	-0.617487526270283
"Hamham"	-0.517764520713081	0.0781046577349943	-0.251456077060665	0.167518703903541	-0.0173765404305378	-0.669581389862751	-0.324685680201678	-0.620903969727251	-0.343972752405467	-0.459883328854101	0.0103490105069662	0.568019039426259	0.879552138721983	0.640069085744966	0.209060420017912	1.13368181274569	0.445092139321132	0.340235326156306
"Toxgon"	-0.531782633584607	0.0315500583347051	-0.372435970046874	0.117546743772928	0.0331708989820807	-0.653139125568995	-0.354955660462455	-0.63915261626156	-0.385588140631582	-0.453507397494233	-0.207632518499469	0.567500092298456	0.998103305436807	0.763685544107711	0.307712541943336	1.27452300535584	0.620497570779059	0.0804562728159359
"Crypa1"	-0.0687092586201671	0.192961927316951	-0.0973884644944295	0.456109751345528	-0.165525375532134	0.432488179478104	0.0968013339692598	-0.15404197082407	-0.306161759199268	0.33190184242032	-0.0294671767535141	0.214240135318943	0.101762596213622	-0.0670576676885645	-0.459531106819012	0.678751280550611	0.74663129044297	0.774707612671922
"Babbov"	-0.140757182955799	-0.321426537514655	-0.269654352815464	-0.178044158855154	0.19228189918314	0.63187150534086	-0.28599763657976	-0.311295143763009	-0.306708598302464	1.09790150780551	-0.451750516272054	-0.0575341725610314	0.277474198920812	0.00914634376561973	0.206287299285456	0.555988330597438	0.0983284389267879	0.135769323464862
"Thepar"	-0.357112403685673	0.177292123685613	-0.303120281407605	-0.123991717917968	-0.265680057847615	0.20311821595967	0.118448127422763	-0.0153933146297481	-0.141175766608854	0.218862401991857	-0.320436766359537	-0.490149460365987	-0.616527898865128	-0.403295464411488	-0.228161896713038	0.179501936911389	0.177289187537702	0.930363414117308
"Plaviv"	-0.595167561526051	0.366390976285035	-0.536429285005422	-0.342922725130079	0.0218053146441883	-0.274647333378908	0.237592021745433	-0.0107038948529896	-0.438855593938612	0.0322669560647022	-0.36681262075272	2.93545439611058	0.354242127062993	0.421614196444149	0.365969239235139	0.714794372995988	2.14956230888012	0.165764458174974
"Cyamer"	-0.307150820669368	0.0636021326007275	-0.318009055677135	0.237824678506385	0.149998112357289	-0.126480122295285	-0.360946135364361	-0.724321369404325	-0.384642251265401	-0.104782948356596	-0.33298804744369	-0.00487967078570524	0.878272545449175	0.233215929033482	-0.223160457689765	1.10629488543272	0.0393451281776204	0.101692687119358
"Acacas"	-0.451446015422177	-0.157298027413579	-0.17569759131911	-0.249140750462722	0.0491384892305972	0.0860862305412662	-0.143670844459361	-0.492047371598757	-0.486951191313817	-0.129077275452506	0.121005069298696	0.473577197474576	-0.274124376571427	0.0230075000163792	0.350061136263339	0.71631061367161	0.788130229241526	0.586196477388459
