Clagra	7110	89975	35603	19284	191992	11367	244538	183055	116732	18321	11695	765	19715	55714	13223	21010	1072	2718
Clasph	6323	27237	54895	8419	156692	7241	78972	34574	133678	15840	26816	2677	10641	51154	10086	23358	1576	8585
Clafus	6683	143994	47199	23061	200897	10255	379025	392459	130300	22363	20867	1998	20374	68986	20125	21565	1094	4886
Clalus	2736	32980	11153	7132	70995	2484	83644	52634	34172	6469	3421	396	7622	21645	6798	5541	200	1044
Cocpos	7067	71201	34178	17486	152491	6142	171473	125319	112105	16131	10967	648	15740	43961	11675	17859	902	3065
Coclun	7681	44822	42488	12567	215589	11414	127793	74172	118742	26336	15505	1326	18953	72886	19266	24173	1196	3902
Colglo	16578	75660	107075	23187	352477	19784	213085	116643	286642	37741	44268	3368	24238	106390	25050	44850	2677	13327
Conapo	8269	33086	55450	9710	157462	8540	100035	86947	145438	15526	22364	2242	11144	48603	10037	24304	1250	6307
Cormil	7898	47483	68703	10892	190795	13113	142621	102561	155744	23648	35708	5000	12833	57962	14933	26054	1878	10636
Crypa2	9586	66134	62922	19158	255965	12160	187009	120008	173248	26832	26675	2136	24569	79768	18827	45962	3542	7041
Cybjad	4118	28752	11489	7542	66432	3791	79219	56251	30904	7932	1738	44	5137	16889	6731	4575	92	1327
Dalesc	10506	75645	47664	19044	186487	23595	206893	182045	146747	16210	14731	1119	18774	57255	19375	15701	808	4479
Debhan	2308	55837	5540	10051	51166	2744	123746	101143	16930	3582	562	28	8399	13144	4912	3021	54	283
Dekbru	757	13062	2646	2316	16086	640	31127	24437	9756	890	658	27	2234	4599	1380	1383	40	126
Didexi	9576	36637	52194	10588	201499	12196	124198	89039	131540	20324	20572	2200	15104	71363	17048	38806	1988	6640
Epityp	5103	84356	37627	16492	176733	7259	275079	263841	111128	20758	16498	1330	14816	59266	19991	16871	1083	3754
Erypis	7504	245655	28576	37425	284047	9800	531063	429339	103308	19644	6862	617	30357	75359	27046	20980	620	1223
Eurher	9728	50616	39339	15777	157353	7926	142138	89202	126593	17829	10248	827	15061	44687	11646	16930	850	3874
Exoder	9453	37814	50402	12064	162220	10477	110562	58215	140031	19681	18077	1487	12072	46510	11932	22203	1088	4773
Fusoxy	10645	76738	50327	21741	296106	15309	234168	167076	155751	29784	14937	955	26479	82769	22666	30219	1469	4025
Gaegra	13024	50583	111969	9330	238091	15428	127764	100448	269215	33314	62695	8081	14708	74485	15499	35563	3226	15292
Geodes	5603	43945	33951	12365	145959	6765	129616	100257	100422	15538	12651	1266	12991	40567	10567	14872	645	4984
Gibmon	9173	65269	44591	19083	267635	14897	201870	137504	138869	27367	13387	823	23049	74292	19913	27123	1249	3683
Glaloz	9117	103754	37915	26195	210720	11231	258665	160732	122869	17926	9989	682	17627	59986	19234	19261	700	3264
Glotra	11858	42576	53942	14363	200648	13051	123485	72703	172486	19259	17634	1099	18859	63991	15406	29909	1949	7024
Glogra	14797	58980	94024	15341	263844	19306	213136	202948	241073	29939	41364	3356	18595	80500	19658	30932	2203	11570
Grocla	11995	32155	82784	6798	152414	6374	102222	83536	171118	16961	40929	3661	12037	51101	11583	34587	2375	8008
Hanval	623	54740	1595	4826	31050	941	109504	100480	4289	1778	22	0	3742	7139	4004	1627	48	54
Hypbur	4088	58782	8940	9827	48940	3475	132145	109080	26098	3997	771	32	5604	9164	3590	2913	40	481
Hyp_sp	11482	136035	51779	22101	218232	22209	355975	326852	156457	20013	16804	1221	20754	68989	25240	18534	1149	4465
Klumar	3091	35157	7370	7923	50950	3787	87761	68900	24686	4517	990	64	5897	13919	4885	4141	164	583
Kompas	2076	31192	5229	6506	45270	2691	77420	53525	18507	3927	736	29	4368	10905	4026	3987	148	328
Lacklu	4179	40308	10820	6643	54211	3953	87872	69890	28404	4963	1728	96	4981	15499	5666	5705	204	947
Lipsta	6817	55551	29278	12799	110665	5647	142181	94930	84156	8607	8976	833	11279	34515	8907	12739	448	2676
Lodelo	2867	55879	6782	6438	59249	3340	140815	101885	19424	4605	803	30	8612	16540	6848	5156	106	434
Macpha	14542	75908	105468	20692	261926	12270	213296	167579	267249	28909	48147	5079	18996	82575	15496	41321	2528	14189
Magory	12782	63146	76264	13712	228904	19629	167845	107322	192566	26728	32930	2789	17914	71605	17808	31360	2346	8628
Marbru	18024	118299	61868	27465	180868	15965	336077	372127	174811	18829	18641	1955	20492	55921	13157	21463	1085	4552
Mel_sp	15091	115509	100117	23866	305724	19210	326441	268421	278971	35677	43595	3535	22683	93494	22757	45890	3970	11567
Metacr	9491	67453	61836	16879	248348	12370	190254	123451	171748	30215	25484	1986	19919	78561	23716	25403	1509	5788
Metfru	4432	62142	20391	12623	107818	3654	137343	73188	59183	8240	6680	540	10839	31129	8786	7842	404	2135
Meygui	4272	34694	11266	6905	56881	4054	87539	46260	30356	6746	1724	184	5348	13751	4553	3648	222	882
Mycpop	7732	41200	42035	15435	157936	15846	117735	74135	127090	16225	15082	1218	12825	59183	23047	22782	1233	4058
Nadful	3981	51861	13222	8983	58786	4945	124267	106899	36858	4948	2680	162	5111	12856	4487	3400	130	886
Naucas	2014	51817	4929	9202	53553	3605	113597	92602	16614	5340	492	18	6987	12615	5266	3336	152	299
Nechae	12862	62879	73222	19371	325585	16467	201868	155792	215545	40194	26879	1766	23443	88426	23863	31818	2066	6607
Neofis	10070	54160	48365	16575	194516	10667	158703	100634	143798	21170	15466	1233	17218	53336	12830	27113	1705	5058
Neogan	5623	55141	37828	12762	173955	7266	163050	112751	108267	20217	15844	1200	16004	55601	18669	15976	970	3722
Neucra	13032	68460	68568	15601	213177	21571	186098	138325	187327	24672	24423	1662	13350	60196	17056	19660	1079	7004
Ogapar	2758	25093	12654	4843	44923	2179	59234	31028	34406	4208	4274	416	3124	12070	3676	6094	174	1098
Oidmai	9579	104438	52994	25341	250325	12510	284170	220665	174363	25073	17942	1345	23469	72586	18145	33397	1650	4079
Ophcla	3559	29270	20861	6339	72340	4386	75596	52169	62224	7716	8010	581	5044	22100	4944	9712	636	2425
Pactan	1577	78686	3202	7834	42648	1844	147307	127320	10534	2427	294	50	6126	9287	4258	4312	114	148
Parbra	5700	84191	25652	18173	162438	5559	201963	161764	96295	15786	7386	509	16781	46715	13488	19442	895	1845
