Macpha	48	390	276	137	667	32	1257	1260	845	59	109	6	51	193	55	91	1	27
Magory	1432	11112	8582	2805	13357	1482	24556	20489	24173	2209	2932	168	545	3101	511	2139	638	528
Marbru	16	660	40	175	318	10	1810	2037	132	84	2	10	37	127	25	30	1	1
Mel_sp	1	498	50	31	118	8	1377	1354	155	6	42	1	1	21	21	22	1	6
Metacr	146	2484	954	311	4241	242	7535	7850	2700	476	385	22	456	1371	469	440	24	81
Metfru	1779	18082	8905	3822	37625	1646	43393	20158	24210	3416	3182	224	3132	10572	2996	3305	231	995
Meygui	17	166	37	24	203	18	302	199	109	25	1	1	31	58	15	4	1	1
Mycpop	494	1987	2634	1103	229	1088	6184	8166	8548	1	879	60	83	185	28	95	12	145
Nadful	8	43	16	10	66	12	87	100	57	18	1	1	6	10	8	41	1	6
Naucas	47	445	134	150	897	98	1116	995	438	138	50	1	82	209	73	47	6	11
Nechae	268	953	1588	280	2982	276	3784	4140	4328	258	694	32	320	922	150	436	4	70
Neofis	100	2601	744	367	3459	149	6170	6280	2037	643	324	4	392	744	136	439	57	93
Neogan	10	885	79	77	523	40	3768	4498	288	34	30	4	130	154	38	52	1	2
Neucra	90	497	379	87	866	149	1296	1173	926	129	139	8	72	279	38	91	12	50
Ogapar	6	40	16	6	71	6	96	86	46	8	1	1	16	13	2	14	1	1
Oidmai	57	263	261	54	663	12	1155	1231	771	36	43	22	175	310	84	125	52	6
Ophcla	1	4	1	1	2	1	20	30	2	1	1	1	1	2	2	1	1	1
Pactan	2	17	4	1	12	2	28	30	10	1	2	1	4	2	1	1	1	1
Parbra	41	1441	578	478	2741	43	3198	2496	1570	313	246	10	133	578	115	492	35	67
Pendig	224	1391	1069	447	4166	243	3957	2711	3020	374	390	37	471	1166	442	287	10	105
Peripo	2	13	24	1	65	10	47	19	49	4	8	1	8	12	2	13	1	2
Phanod	29	1077	425	168	1465	98	3586	3789	1100	306	155	7	175	589	35	291	7	121
Pickud	1	3	2	2	10	1	17	13	4	1	1	1	1	6	1	1	1	1
Pyrter	167	1110	906	270	4178	234	3449	2778	2625	499	347	39	276	1360	386	656	30	77
Saccer	164	1829	323	266	2559	186	4096	2884	788	124	18	1	249	898	180	190	1	20
Saicom	1	2	1	1	9	1	4	2	3	1	1	1	1	6	2	2	1	1
Schjap	143	1429	544	382	2148	164	3771	3314	1759	228	154	14	191	764	210	266	8	10
Sclscl	220	2921	568	910	4232	157	9970	8060	2815	204	79	1	619	1073	316	357	3	22
Settur	159	1716	737	504	4650	142	6168	7923	2935	604	322	120	328	1398	296	985	60	80
Sormac	98	160	267	57	1066	86	580	432	768	102	85	6	44	248	88	75	1	53
Spapas	16	252	55	44	352	14	618	457	171	18	15	1	19	69	27	26	1	1
Talmar	440	2487	1373	681	5849	118	6696	5056	5393	797	396	54	461	1494	234	484	5	176
Tapdef	1	496	79	244	1306	48	1364	626	831	136	34	1	60	532	202	202	6	1
Thelan	4	47	24	4	139	4	94	61	78	14	14	1	10	47	2	6	1	1
Thiter	134	384	783	146	1982	132	1575	1452	2449	222	357	72	30	760	214	366	48	130
Triree	1	49	44	4	27	1	170	188	47	10	18	1	4	6	1	4	1	1
Trirub	20	149	104	34	453	10	392	332	283	60	44	8	84	161	38	38	2	12
Tubmel	1890	6436	4117	1554	21862	1152	18133	20917	12894	1939	725	16	1241	5702	2118	1595	180	177
Uncree	21	344	141	72	604	28	714	599	608	60	53	1	38	174	10	84	1	28
Vanpol	736	1532	824	517	1875	1016	4786	3023	1147	86	10	1	123	269	104	43	1	10
Verdah	97	914	628	336	3400	109	2504	1778	2321	402	248	99	256	656	80	279	4	35
Wicano	324	10820	694	1776	10263	484	24162	17759	1649	730	30	2	1027	1956	958	580	7	34
Xanpar	139	475	585	246	616	143	2115	3268	2031	62	155	10	50	186	39	180	23	35
Zascel	4	57	34	21	163	12	222	242	123	22	8	1	12	69	11	63	9	4
Zymard	6	8	16	1	13	2	26	62	42	2	7	1	1	2	1	1	1	6
Agabis	598	3009	1558	690	7271	261	8257	5558	4970	641	294	90	702	1914	950	477	31	43
Amamus	443	3841	1658	1038	11272	485	9814	6429	5594	986	343	32	1186	3460	1034	1093	42	144
Aurdel	1182	4429	7964	1035	19005	1090	11023	6275	21556	1553	3442	568	1530	6439	1260	3014	177	1313
Bjeadu	389	1911	2262	449	7675	417	5009	2475	7298	709	881	138	587	2600	790	998	72	335
Botbot	192	2270	931	283	6075	265	5308	3043	4077	604	316	18	472	2040	702	476	21	95
Cersub	246	1304	1465	398	5508	267	3852	1923	4659	402	567	61	605	2055	588	792	35	133
Conput	184	1373	1073	339	5320	210	3802	2859	3500	487	320	66	445	1828	515	472	27	91
Copcin	450	2480	1823	998	7198	672	5806	3660	6576	971	402	38	390	1754	495	563	72	182
