Xipmac	652813803 	652809671 	253006148 
Oikdio	66533093 	66532959 	26459850 
Cioint	116731843 	113192845 	40381198 
Calmil	768532130 	768532130 	329083366 
Leueri	1555444314 	1555443962 	662556739 
Braflo	480405935 	480398260 	197894166 
Petmar	647351933 	647351933 	296839923 
Ailmel	2245296026 	2245296026 	934055750 
Allmis	2129643287 	2128703477 	944361412 
Anocar	1701336547 	1701336547 	685965676 
Bostau	3247500072 	3247479727 	1356437780 
Caljac	2762736592 	2762736592 	1128357126 
Camfer	1985426126 	1985399753 	819488374 
Canlup	2392698509 	2392698509 	988369688 
Cavpor	2663352932 	2663352932 	1063955530 
Cersim	2366841180 	2366841180 	967923426 
Chilan	2284276400 	2284276400 	938025320 
Chohof	2060419685 	2060419685 	802407506 
Chrpic	2158295439 	2158291820 	953184398 
Chrasi	3363547664 	3363547664 	1345845744 
Concri	1682547005 	1682547005 	699062052 
Crigri	2318115958 	2318115958 	958940600 
Dasnov	3299865003 	3299864972 	1345335683 
Daumad	2855365987 	2847950959 	1127429967 
Dipord	1844961421 	1844961421 	781945483 
Echtel	2605179812 	2605179812 	1120366630 
Eleedw	3315871847 	3315871847 	1336187394 
Eptfus	1811380956 	1811380956 	777641791 
Equcab	2428773513 	2428773513 	1007968118 
Erieur	2333056088 	2333056088 	969121023 
Felcat	2350804224 	2350804224 	980257112 
Ficalb	1102340840 	1102338849 	487429398 
Galgal	942297987 	942294698 	394559192 
Geofor	1041286029 	1041286029 	433199006 
Gorgor	2829709756 	2829687208 	1146928232 
Hetgla	2314754717 	2314754717 	930846343 
Homsap	2831796747 	2831796673 	1158229521 
Jacjac	2470250781 	2470250781 	1034343002 
Latcha	2183576361 	2183576361 	898562212 
Loxafr	3118542542 	3118542542 	1271176703 
Macfas	2608585756 	2579227905 	1048479069 
Maceug	2594098366 	2594098131 	1007320200 
Melgal	936087475 	936087475 	379280786 
Melund	1086602023 	1086596622 	448184451 
Micoch	2104321675 	2104321675 	889104579 
Mondom	3501643220 	3501643220 	1324410939 
